accident_date,gender,age
1.40E+12,Female,51
1.40E+12,Male,83
1.40E+12,Male,42
1.54E+12,Male,25
1.40E+12,Male,53
1.40E+12,Male,78
1.40E+12,Male,67
1.40E+12,Male,24
1.40E+12,Male,77
1.47E+12,Male,22
1.40E+12,Male,22
1.40E+12,Male,75
1.40E+12,Male,23
1.40E+12,Male,26
1.51E+12,Male,32
1.39E+12,Male,19
1.39E+12,Male,29
1.40E+12,Male,43
1.50E+12,Female,16
1.40E+12,Male,53
1.40E+12,Male,23
1.40E+12,Male,24
1.40E+12,Male,54
1.40E+12,Male,30
1.55E+12,Female,15
1.40E+12,Female,36
1.40E+12,Female,58
1.40E+12,Male,69
1.40E+12,Male,23
1.40E+12,Male,87
1.40E+12,Female,29
1.40E+12,Male,34
1.51E+12,Male,76
1.39E+12,Male,65
1.49E+12,Male,19
1.50E+12,Male,58
1.42E+12,Male,70
1.39E+12,Female,80
1.46E+12,Male,53
1.42E+12,Male,17
1.39E+12,Male,47
1.39E+12,Female,75
1.45E+12,Female,80
1.40E+12,Male,46
1.46E+12,Male,58
1.39E+12,Female,83
1.39E+12,Female,79
1.40E+12,Male,74
1.55E+12,Male,34
1.55E+12,Female,63
1.40E+12,Female,64
1.50E+12,Male,32
1.40E+12,Male,32
1.48E+12,Male,50
1.40E+12,Female,2
1.40E+12,Male,60
1.40E+12,Male,28
1.40E+12,Male,50
1.40E+12,Male,26
1.40E+12,Male,73
1.41E+12,Male,59
1.41E+12,Male,25
1.41E+12,Female,79
1.41E+12,Male,27
1.41E+12,Male,43
1.41E+12,Male,45
1.41E+12,Female,44
1.41E+12,Male,17
1.41E+12,Male,65
1.41E+12,Male,38
1.41E+12,Male,78
1.41E+12,Male,79
1.41E+12,Male,78
1.47E+12,Male,66
1.47E+12,Male,45
1.52E+12,Female,24
1.41E+12,Female,65
1.41E+12,Male,48
1.44E+12,Male,36
1.41E+12,Female,25
1.41E+12,Female,31
1.41E+12,Female,54
1.41E+12,Male,26
1.41E+12,Male,49
1.41E+12,Male,62
1.50E+12,Female,75
1.41E+12,Male,86
1.41E+12,Female,81
1.41E+12,Male,85
1.54E+12,Male,65
1.41E+12,Female,76
1.41E+12,Male,40
1.41E+12,Male,38
1.41E+12,Male,52
1.41E+12,Male,36
1.41E+12,Male,57
1.41E+12,Male,64
1.40E+12,Male,49
1.41E+12,Male,30
1.41E+12,Male,28
1.41E+12,Male,94
1.41E+12,Female,74
1.42E+12,Male,28
1.41E+12,Female,27
1.40E+12,Male,92
1.45E+12,Female,18
1.45E+12,Male,19
1.40E+12,Male,23
1.48E+12,Male,61
1.48E+12,Male,81
1.40E+12,Female,87
1.40E+12,Female,88
1.40E+12,Male,33
1.40E+12,Male,65
1.40E+12,Female,66
1.55E+12,Male,55
1.40E+12,Female,35
1.40E+12,Female,55
1.40E+12,Male,63
1.40E+12,Male,25
1.40E+12,Male,22
1.40E+12,Male,34
1.41E+12,Male,45
1.41E+12,Male,39
1.41E+12,Male,42
1.41E+12,Female,85
1.42E+12,Male,53
1.42E+12,Male,31
1.42E+12,Female,33
1.42E+12,Male,64
1.42E+12,Female,25
1.42E+12,Female,25
1.42E+12,Female,4
1.42E+12,Male,76
1.43E+12,Male,46
1.42E+12,Male,54
1.42E+12,Male,64
1.52E+12,Female,59
1.42E+12,Male,58
1.42E+12,Male,86
1.41E+12,Male,51
1.42E+12,Male,27
1.52E+12,Male,38
1.52E+12,Female,32
1.42E+12,Female,80
1.42E+12,Male,26
1.42E+12,Female,63
1.42E+12,Male,60
