latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-37.75194446,147.7266413,Point,1400000000000,Male,12,3,Passengers,1,Collision with vehicle,3,EAST GIPPSLAND,Country,Intersection,Tourist Roads,1
-37.83818225,144.995885,Point,1540000000000,Male,73,1,Pedestrians,2,Struck Pedestrian,1,STONNINGTON,Melbourne - Inner,Intersection,Main Roads,1
-36.02231252,146.1375299,Point,1510000000000,Male,43,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,Non Intersection,Freeway & State Highways,1
-37.87286406,145.3831301,Point,1550000000000,Male,63,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,Intersection,Main Roads,1
-38.34352727,141.5871983,Point,1550000000000,Male,18,6,Bicyclists,1,Collision with vehicle,2,GLENELG,Country,Intersection,Freeway & State Highways,1
-35.96987802,145.659871,Point,1500000000000,Male,84,2,Drivers,1,Collision with vehicle,2,MOIRA,Country,Intersection,Local Roads,1
-37.68632624,144.5369029,Point,1550000000000,Male,45,2,Drivers,4,Collision with a fixed object,1,MELTON,Melbourne - West,Non Intersection,Local Roads,1
-37.90670817,143.8358957,Point,1550000000000,Male,49,4,Motorcyclists,4,Collision with a fixed object,1,GOLDEN PLAINS,Country,Non Intersection,Local Roads,1
-36.66439899,147.4377923,Point,1550000000000,Male,68,4,Motorcyclists,5,Collision with some other object,1,TOWONG,Country,Non Intersection,Freeway & State Highways,1
-38.25395454,145.54718,Point,1550000000000,Male,29,1,Pedestrians,2,Struck Pedestrian,3,CARDINIA,Melbourne - South East,Non Intersection,Freeway & State Highways,1
-37.90626676,144.0908473,Point,1550000000000,Female,68,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,Non Intersection,Freeway & State Highways,1
-38.39056371,143.7832119,Point,1510000000000,Male,52,2,Drivers,1,Collision with vehicle,2,COLAC OTWAY,Country,Intersection,Main Roads,1
-37.61532899,147.1893004,Point,1550000000000,Male,59,4,Motorcyclists,5,Collision with some other object,1,EAST GIPPSLAND,Country,Non Intersection,Main Roads,1
-37.57989824,145.4859035,Point,1530000000000,Male,54,4,Motorcyclists,1,Collision with vehicle,2,YARRA RANGES,Melbourne - Outer East,Non Intersection,Main Roads,1
-38.26297648,146.4324922,Point,1540000000000,Male,26,4,Motorcyclists,6,Vehicle overturned (no collision),1,LATROBE,Country,Non Intersection,Local Roads,1
-34.22390585,142.1153556,Point,1550000000000,Male,85,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,Intersection,Freeway & State Highways,2
